0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Year
24,VIZIANAGARAM,52898.94,49.77,2835.46,11162.75,1183.16,183.73,56917.56,11396.24,68313.8,414115,705322,25523030,61.63,208.63,16992,63860,249.76,2021
25,WEST GODAVARI,36441.45,65.38,10664.64,11507.21,723.78,303.84,47829.86,11876.43,59706.29,341273,548986,17084761,50.06,215.49,24623,55152,343.42,2021
26,Y.S.R,32065.63,23.55,8350.55,14268.03,1377.07,361.03,41793.26,14652.6,56445.86,247875,396341,13906126,56.1,231.04,21873,55776,387.84,2021
,Total,517178.87,681.65,108422.3,182236.24,15670.83,4405.33,641272.02,187323.2,828595.25,4674042,7737145,241478532,51.66,216.17,325907,827394,332.97,2021
SNo.,District,Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Employment Provided,Employment Provided,Employment Provided,Average days of employment provided per HH,Average Wage per personday (In Rs.),Works,Works,Cost Per Personday(in Rs.),2022
SNo.,District,On Unskilled Wage,On Unskilled Wage,On Material,On Material,Adm.Exp,Adm.Exp,Total,Total,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2022
SNo.,District,2022-2023,Paid Liability of previous years,2022-2023,Paid Liability of previous years,2022-2023,Paid Liability of previous years,2022-2023,Paid Liability of previous years,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2022
1,ALLURI SITHARAMA RAJU,27484.25,536.1,2407.39,17679.06,1371.92,63.78,31263.56,18278.94,49542.5,196247,362306,11833830,60.3,232.64,15216,52421,349.08,2022
2,ANAKAPALLI,21694.49,79.61,3307.25,9738.65,1107.81,28.82,26109.55,9847.08,35956.63,200051,301292,11037033,55.17,196.77,6733,23075,275.24,2022
3,ANANTAPUR,23219.16,93.89,1345.04,19234.14,2660.95,306.84,27225.15,19634.87,46860.02,201182,362968,10830751,53.84,214.79,20240,48316,328.9,2022
4,ANNAMAYYA,19222.96,71.47,1584.65,10548.88,1302.22,48.04,22109.82,10668.39,32778.22,148970,231734,8333001,55.94,230.81,21881,56798,306.25,2022
5,BAPATLA,14769.58,64.58,862.54,6279.76,924.58,47.73,16556.69,6392.07,22948.77,168385,294942,7284460,43.26,203.1,14172,31046,243.2,2022
6,CHITTOOR,19093.19,116.15,3385.52,11084.23,1815.57,154.01,24294.29,11354.39,35648.68,146742,241165,7849406,53.49,243.36,24862,76711,354.07,2022
7,EAST GODAVARI,12232.25,145.02,1358.64,7992.49,961.26,136.09,14552.15,8273.6,22825.75,102071,145701,5782415,56.65,211.97,6296,25224,264.82,2022
8,ELURU,29634.11,416.05,1487.87,8706.32,1186.03,84.41,32308.01,9206.78,41514.8,271464,463265,14224083,52.4,209.23,15251,47710,235.81,2022
9,GUNTUR,6401.47,31.58,925.92,2942.52,844.3,65.06,8171.7,3039.16,11210.85,71089,120422,3012418,42.38,212.82,10684,18876,279.11,2022
10,KAKINADA,15010.25,211.62,2612.5,7343.38,998.6,23.99,18621.35,7578.99,26200.34,157729,231005,6591617,41.79,228.04,9073,26855,322.21,2022
11,KONASEEMA,13286.88,100.26,2095.5,6370.43,852.14,47.21,16234.52,6517.9,22752.42,124754,180489,5446972,43.66,244.12,11793,20273,322.42,2022
12,KRISHNA,16248.06,223.81,1740.98,7051.32,1147.54,192.34,19136.58,7467.48,26604.05,147412,261050,6973647,47.31,233.21,15705,48340,295.11,2022
13,KURNOOL,20690.4,200,1803.09,8112.63,2091.62,235.1,24585.11,8547.73,33132.84,192921,349799,9156405,47.46,226.31,13837,34902,303.69,2022
14,NANDYAL,14742.74,167.32,1246.88,10756.16,1526.33,58.16,17515.95,10981.65,28497.6,163580,285366,7042330,43.05,209.58,11387,34028,297.1,2022
15,NELLORE,22878.58,254.13,1751.89,16371.49,1839.03,290.65,26469.5,16916.27,43385.78,207929,321060,11314677,54.42,202.63,14029,37805,249.2,2022
16,NTR,15682.77,297.59,1507.63,5071.73,625.4,36.51,17815.81,5405.84,23221.64,141158,245738,7245460,51.33,216.89,15340,25242,251.48,2022
17,PALNADU,14828.37,153.13,1120.86,10781.62,987.14,60.71,16936.37,10995.46,27931.83,191518,336122,7822952,40.85,190.15,17863,19286,223.2,2022
18,PARVATHIPURAM MANYAM,21410.69,251.18,1049.11,9652.55,1113.57,23,23573.37,9926.72,33500.1,173161,305267,10722339,61.92,199.86,15933,36134,264.47,2022
19,PRAKASAM,32285.77,220.99,1715.39,22424.74,2666.04,229,36667.2,22874.74,59541.94,323070,572703,16617627,51.44,194.49,18798,33189,254.09,2022
20,SRI SATHYA SAI,17001.64,85.74,1184.94,12265.2,1715.64,73.77,19902.22,12424.71,32326.93,151049,268332,7952611,52.65,213.62,12070,37418,324.56,2022
21,SRIKAKULAM,37970.63,150.15,2000.27,15579.27,2599.21,171.63,42570.11,15901.05,58471.16,331163,497901,20087465,60.66,189.17,19875,60206,252.37,2022
22,TIRUPATI,21330.42,124.47,1824.54,9523.4,1449.46,47.01,24604.41,9694.88,34299.29,178848,281624,10062698,56.26,211.55,19291,39224,259.7,2022
23,VISAKHAPATANAM,3198.32,6.17,174.57,1793.25,655.41,131.7,4028.3,1931.12,5959.43,27282,39652,1566494,57.42,204.33,662,4022,310.74,2022
24,VIZIANAGARAM,40554.38,101.37,1374.39,10086.96,2255.36,120.28,44184.13,10308.61,54492.73,311719,499040,19534490,62.67,207.86,12196,51972,251.88,2022
25,WEST GODAVARI,9073.61,54.11,1555.3,7510.11,712.46,66.91,11341.36,7631.13,18972.5,107323,164365,3960604,36.9,229.78,13392,31568,303.4,2022
26,Y.S.R,15931.78,50.52,3109.66,8889.12,2392,154.32,21433.45,9093.96,30527.41,145943,235733,7250015,49.68,219.92,18019,43761,322.29,2022
,Total,505876.75,4207.01,44532.32,263789.41,37801.59,2897.07,588210.66,270893.52,859104.21,4582760,7599041,239535800,52.27,211.47,374598,964402,279.82,2022
SNo.,District,Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Employment Provided,Employment Provided,Employment Provided,Average days of employment provided per HH,Average Wage per personday (In Rs.),Works,Works,Cost Per Personday(in Rs.),2023
SNo.,District,On Unskilled Wage,On Unskilled Wage,On Material,On Material,Adm.Exp,Adm.Exp,Total,Total,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2023
SNo.,District,2023-2024,Paid Liability of previous years,2023-2024,Paid Liability of previous years,2023-2024,Paid Liability of previous years,2023-2024,Paid Liability of previous years,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2023
1,ALLURI SITHARAMA RAJU,37314.83,25.57,10445.45,9156.75,1270.81,165.14,49031.09,9347.47,58378.56,204515,372018,14816011,72.44,252.21,28520,49724,333.02,2023
2,ANAKAPALLI,31743.88,20.57,5191.32,3315.3,946.38,133.01,37881.58,3468.89,41350.47,207266,305986,12252347,59.11,259.22,17481,25712,309.42,2023
3,ANANTAPUR,26113.67,28.89,4590.51,8218.16,1630,291.83,32334.18,8538.87,40873.05,199166,341790,10904317,54.75,239.75,28347,41274,295.6,2023
4,ANNAMAYYA,22633.05,19.01,4561.14,4527.76,1183.96,204.09,28378.15,4750.86,33129.01,161315,243550,9182142,56.92,246.69,43142,36576,309.88,2023
5,BAPATLA,18079.23,28.06,3008.74,2898.75,752,110.26,21839.96,3037.06,24877.03,170269,294832,7361693,43.24,245.7,29137,23203,296.42,2023
6,CHITTOOR,20691.54,17.38,4189.97,5049.91,1300.2,201.99,26181.71,5269.28,31450.99,149229,234534,8171066,54.76,253.24,43661,54792,324.95,2023
7,EAST GODAVARI,11850.47,8.13,2392.37,3326.83,541.24,78.5,14784.08,3413.47,18197.55,100528,137325,5036590,50.1,235.56,21880,17942,294.93,2023
8,ELURU,33368.27,96.75,3982.98,6789.49,1031.23,182.53,38382.48,7068.76,45451.24,267254,442883,13837354,51.78,241.52,35490,32410,280.34,2023
9,GUNTUR,7734.54,9.24,1650.8,1525.35,571.02,91.83,9956.36,1626.42,11582.78,72977,119215,3155683,43.24,245.28,13178,16159,317.7,2023
10,KAKINADA,16863.39,18.31,1876.65,3650.06,897.95,129.94,19638,3798.31,23436.31,156390,225242,6951782,44.45,242.76,18226,21999,283.46,2023
11,KONASEEMA,15028.74,9.14,3237.51,3106.45,776.21,108.45,19042.46,3224.04,22266.5,124252,177542,5635986,45.36,266.74,23057,13588,338.5,2023
12,KRISHNA,19070.25,15.1,2672.22,3988.94,995.45,240.53,22737.92,4244.56,26982.48,151557,262385,7602024,50.16,250.99,37631,34278,300.62,2023
13,KURNOOL,26313.46,21.59,5566.53,4941.86,1300.2,253.74,33180.19,5217.19,38397.38,201378,354296,9925125,49.29,265.36,22262,32212,334.89,2023
14,NANDYAL,18513.31,10.96,3519.76,3460.07,1160.89,173.28,23193.96,3644.3,26838.26,165476,283819,7678569,46.4,241.25,22570,29970,302.39,2023
15,NELLORE,31034.4,33.89,4722.3,10955.4,1409.16,227.26,37165.87,11216.55,48382.42,223684,333831,11973731,53.53,259.38,27800,37456,320.82,2023
16,NTR,20404.78,18.84,1707.16,4797.54,530.48,72.02,22642.42,4888.41,27530.82,150016,255633,8122405,54.14,251.65,23691,17232,279.86,2023
17,PALNADU,20371.26,16.31,2547.03,4727.38,923.36,129.29,23841.66,4872.99,28714.64,198219,340098,8537048,43.07,239.06,14567,17413,280.79,2023
18,PARVATHIPURAM MANYAM,30018.02,14.53,3005.89,4020.89,893.06,140.84,33916.97,4176.26,38093.23,176162,307119,12478350,70.83,240.81,27620,27656,272.95,2023
19,PRAKASAM,34584.79,35.21,6665.72,8587.48,1823.39,340.47,43073.9,8963.17,52037.07,308914,541694,15513340,50.22,223.07,21801,28069,277.67,2023
20,SRI SATHYA SAI,17636.32,21.31,4294.6,4503.33,1239.04,189.3,23169.96,4713.94,27883.89,149273,251913,7834915,52.49,225.36,22864,31469,296.07,2023
21,SRIKAKULAM,54929.24,40.35,5077.89,8352.91,1928.03,383.96,61935.16,8777.21,70712.38,337901,505840,21819126,64.57,252.01,37490,40746,283.97,2023
22,TIRUPATI,29178.24,19.75,2477.49,3972.7,1201.68,157.36,32857.41,4149.82,37007.22,178486,275435,11168125,62.57,260.75,22011,34521,295.39,2023
23,VISAKHAPATANAM,4184.04,2.35,472,415.8,384.28,66.39,5040.32,484.55,5524.87,28204,40278,1672618,59.3,250.38,2802,4330,304.21,2023
24,VIZIANAGARAM,50186.51,50.31,5006.5,7736.58,1600.83,225.35,56793.84,8012.25,64806.09,320640,504482,21898319,68.3,229.43,37487,32754,258.97,2023
25,WEST GODAVARI,9597.76,25,2464.6,2862.99,503.42,76.38,12565.79,2964.37,15530.15,103907,153954,3986621,38.37,240.95,19827,24180,318.24,2023
26,Y.S.R,19657.23,6.14,6683.12,5510.13,1587.33,242.08,27927.68,5758.35,33686.03,147847,237080,7976614,53.95,246.56,28127,32088,348.67,2023
,Total,627101.22,612.69,102010.25,130398.81,28381.6,4615.82,757493.1,135627.35,893120.42,4654825,7542774,255491901,54.89,245.65,670669,757753,297.77,2023
SNo.,District,Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Employment Provided,Employment Provided,Employment Provided,Average days of employment provided per HH,Average Wage per personday (In Rs.),Works,Works,Cost Per Personday(in Rs.),2024
SNo.,District,On Unskilled Wage,On Unskilled Wage,On Material,On Material,Adm.Exp,Adm.Exp,Total,Total,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2024
SNo.,District,2024-2025,Paid Liability of previous years,2024-2025,Paid Liability of previous years,2024-2025,Paid Liability of previous years,2024-2025,Paid Liability of previous years,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2024
1,ALLURI SITHARAMA RAJU,42354.72,44.9,13420.54,17187.51,1364.79,326.01,57140.05,17558.42,74698.47,215016,387073,16095577,74.86,263.38,20499,48452,361.66,2024
2,ANAKAPALLI,34989.22,13.49,2318.26,4127.93,1135.93,267.61,38443.41,4409.03,42852.44,210239,307559,12467456,59.3,280.87,12497,28615,311.45,2024
3,ANANTAPUR,28611.54,18.05,5404.2,5939.42,1623.18,384,35638.92,6341.47,41980.39,212780,365891,10924603,51.34,263.01,12152,44475,328.32,2024
4,ANNAMAYYA,22819.13,7.58,2275.84,3670.55,1261.01,271.23,26355.97,3949.37,30305.35,153050,231080,8812031,57.58,259.39,18048,35982,303.09,2024
5,BAPATLA,17951.3,4.99,1491.96,2177.67,777.43,183.46,20220.69,2366.12,22586.81,174891,298376,6739547,38.54,267,13134,27774,306.12,2024
6,CHITTOOR,22266.42,11.15,3965.82,4073.75,1373.64,316.35,27605.88,4401.25,32007.13,153840,242445,8577014,55.75,259.93,15161,61952,327.97,2024
7,EAST GODAVARI,13187.48,10.9,1972.45,2784.75,602.64,135.49,15762.57,2931.14,18693.71,100505,133506,5188788,51.63,254.27,10891,18362,305.89,2024
8,ELURU,31187.33,37.75,2819.89,3543.32,1109.34,282.29,35116.55,3863.37,38979.92,259000,422806,12369199,47.76,252.72,10985,35926,288.4,2024
9,GUNTUR,6587.83,2.67,230.1,1630.87,591.15,129.55,7409.08,1763.09,9172.17,68353,109265,2610737,38.19,252.87,5043,15803,287.71,2024
10,KAKINADA,18925.78,8.47,1800.37,2026.46,984.27,226.99,21710.41,2261.91,23972.33,165748,236009,7495430,45.22,252.75,11947,21003,291.07,2024
11,KONASEEMA,16536.92,4.03,1584.55,2581.71,847,174.24,18968.48,2759.98,21728.45,123895,173830,5680201,45.85,291.2,9733,17666,338.13,2024
12,KRISHNA,19949.44,9.26,4425.01,2742.03,1091.7,289.24,25466.14,3040.53,28506.67,148560,255869,7580662,51.03,263.3,26812,29491,339.59,2024
13,KURNOOL,24956.67,11.62,2773.64,4093.01,1456.19,380.08,29186.51,4484.71,33671.22,213850,372671,8804003,41.17,284.75,10924,37025,336.79,2024
14,NANDYAL,18598.21,10.37,2397.07,3754.06,1249.98,269.61,22245.26,4034.04,26279.3,172833,293786,7475117,43.25,249.9,13118,29852,300.73,2024
15,NELLORE,24866.37,15.13,3452.61,4449.28,1301.31,348.91,29620.29,4813.32,34433.61,220711,329023,9956698,45.11,250.58,18085,40598,300.55,2024
16,NTR,19351.99,14.6,1204.61,1945.61,664.1,160.08,21220.7,2120.29,23341,149716,250570,7423552,49.58,261.15,13695,15827,289.39,2024
17,PALNADU,18528.36,4.6,1496.96,2687.31,810.63,209.28,20835.96,2901.18,23737.14,201122,338526,7406421,36.83,251.01,8270,16515,285.6,2024
18,PARVATHIPURAM MANYAM,32228.03,28.94,3853.41,7873.19,1032.63,218.95,37114.07,8121.09,45235.15,179430,309708,12891379,71.85,250.21,13156,30433,297.2,2024
19,PRAKASAM,27329.74,9.72,5013.39,5654.02,1764.63,497.43,34107.76,6161.17,40268.93,296059,507476,12974132,43.82,210.98,11959,28082,266.61,2024
20,SRI SATHYA SAI,23981.86,11.8,5971.05,5655.73,1163.01,279.67,31115.92,5947.2,37063.12,173222,299606,9257142,53.44,260,14236,30907,340.75,2024
21,SRIKAKULAM,51002.12,61.46,4770.1,4849.28,2124.16,504.29,57896.38,5415.03,63311.41,336518,495248,20572973,61.13,248.05,20343,41408,288.16,2024
22,TIRUPATI,26486.76,7.59,1305.4,2641.93,1197.47,315.14,28989.64,2964.66,31954.3,172813,262276,9924291,57.43,267.46,15320,35966,309.87,2024
23,VISAKHAPATANAM,4633.22,3.57,296.89,398.7,366.99,69.01,5297.1,471.27,5768.37,27709,38917,1649172,59.52,281.27,2350,4656,325.32,2024
24,VIZIANAGARAM,40688.77,46.75,2698.05,4597.07,1742.12,357.42,45128.95,5001.23,50130.18,311278,474350,18007038,57.85,226.15,14869,29495,253.73,2024
25,WEST GODAVARI,10111.63,6.38,1648.43,2523.99,588.89,122.51,12348.95,2652.87,15001.83,102806,148259,3771527,36.69,268.46,8457,24571,335.48,2024
26,Y.S.R,19795.54,6.32,2979.32,6381.45,1737.9,373.96,24512.76,6761.72,31274.48,149872,239060,7627382,50.89,260.43,11888,31049,326.87,2024
,Total,617926.38,412.09,81569.92,109990.6,29962.09,7092.8,729458.4,117495.46,846953.88,4693816,7523185,242282072,51.62,255.52,343572,781885,306.26,2024
SNo.,District,Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Employment Provided,Employment Provided,Employment Provided,Average days of employment provided per HH,Average Wage per personday (In Rs.),Works,Works,Cost Per Personday(in Rs.),2025
SNo.,District,On Unskilled Wage,On Unskilled Wage,On Material,On Material,Adm.Exp,Adm.Exp,Total,Total,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2025
SNo.,District,2025-2026,Paid Liability of previous years,2025-2026,Paid Liability of previous years,2025-2026,Paid Liability of previous years,2025-2026,Paid Liability of previous years,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2025
1,ALLURI SITHARAMA RAJU,27136.58,21.37,5105.23,7992.87,837.59,122.87,33079.4,8137.11,41216.51,146370,272063,9428705,64.42,294.26,7234,67952,792.82,2025
2,ANAKAPALLI,29648.85,23.48,1571.52,9027.76,1093.71,141.08,32314.08,9192.32,41506.4,200496,286474,10483879,52.29,284.86,9585,25773,451.26,2025
3,ANANTAPUR,24373.12,78.1,3298.76,8961.75,2073.92,236.26,29745.8,9276.11,39021.91,182775,313020,8683858,47.51,283.02,24906,25154,529.2,2025
4,ANNAMAYYA,16655.68,31.77,2216.82,5262.54,1078.37,161.94,19950.87,5456.25,25407.12,132945,198497,6088497,45.8,274.92,23253,19368,458.71,2025
5,BAPATLA,14961.86,31.76,842.35,5481.92,828.04,109.8,16632.25,5623.48,22255.73,167719,285846,5478200,32.66,274.39,19435,14775,555.72,2025
6,CHITTOOR,14263.17,13.68,2035.71,6646.17,1609.03,193.34,17907.91,6853.2,24761.11,115881,175412,5285328,45.61,271.92,44643,26846,591.25,2025
7,EAST GODAVARI,19108.91,7.77,1312.11,8283.84,1213.96,125.9,21634.98,8417.52,30052.5,150432,214321,6867046,45.65,280.22,15006,26852,503.52,2025
8,ELURU,27764.3,61.66,1663.76,8424.14,936.11,163.95,30364.18,8649.75,39013.93,240459,386864,10013861,41.64,279.42,18423,23098,517.64,2025
9,GUNTUR,4728.23,10.93,701.74,1553.66,710.06,68.71,6140.03,1633.3,7773.33,59514,94692,1866702,31.37,255.9,6871,11290,469.75,2025
10,KAKINADA,15315.58,8.86,3580.99,8707.59,785.82,128.35,19682.39,8844.8,28527.18,149063,206746,5506880,36.94,280.34,10335,14230,570.27,2025
11,KONASEEMA,14586.23,3.01,921.8,6964.04,755.9,96.99,16263.93,7064.05,23327.98,118273,163714,4901054,41.44,297.63,9209,11509,510.18,2025
12,KRISHNA,16501.43,8.82,1011.46,8188.1,1312.87,142.34,18825.76,8339.26,27165.02,141701,242232,5966549,42.11,277.09,21045,14327,480,2025
13,KURNOOL,17307.21,78.91,1336.65,6729.96,1659.69,190.28,20303.55,6999.15,27302.71,185835,319972,6488284,34.91,270.55,18589,22031,462.36,2025
14,Markapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
15,NANDYAL,16124.44,65.21,1510.61,6443.99,1129.87,154,18764.92,6663.21,25428.13,161963,269766,6138147,37.9,264.56,13199,19405,470.63,2025
16,NELLORE,18892.32,48.73,2328.15,8835.75,1532.61,206.82,22753.08,9091.3,31844.38,190263,278541,7856094,41.29,243.2,18862,28131,459.45,2025
17,NTR,11617.08,24.08,934.24,7288.11,602.53,116.79,13153.85,7428.97,20582.82,127672,206822,3974018,31.13,295.16,10065,9569,503.03,2025
18,PALNADU,17563.31,32.23,3323.12,7576.14,914.85,130.33,21801.28,7738.69,29539.97,198629,335003,6394738,32.19,279.67,4232,15468,494.49,2025
19,PARVATHIPURAM MANYAM,25080.56,22.65,2260.17,8023.89,967.54,125.94,28308.27,8172.48,36480.75,175401,295265,9772961,55.72,258.45,16901,25109,434.18,2025
20,Polavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
21,PRAKASAM,26982.75,29.67,3315.06,11830.07,2124.32,294.4,32422.14,12154.14,44576.28,292208,503960,10763546,36.84,251.2,7730,24043,447.81,2025
22,SRI SATHYA SAI,18130.19,45.93,2431.3,9625.48,1193.99,153.62,21755.48,9825.03,31580.51,140466,242579,6568318,46.76,280.53,13880,22776,494.31,2025
23,SRIKAKULAM,35153.02,36.25,2913.65,18848.28,2430.86,295.4,40497.53,19179.93,59677.46,320407,455144,15062824,47.01,233.67,25725,28490,416.41,2025
24,TIRUPATI,20611.68,48.49,1563.13,10553.31,1069.58,164.95,23244.39,10766.74,34011.13,144432,210988,7346405,50.86,281.54,23192,19611,488.32,2025
25,VISAKHAPATANAM,4128.04,4.88,127.66,1501.56,395.36,45.02,4651.06,1551.46,6202.51,26041,35759,1486515,57.08,278.15,2475,3058,492.15,2025
26,VIZIANAGARAM,31004.5,30.06,2418.71,11029.16,1961.01,197.92,35384.22,11257.15,46641.37,285958,418392,13797021,48.25,225.07,12534,20404,365.87,2025
27,WEST GODAVARI,9148.46,8.34,798.14,2816.22,738.27,90.36,10684.87,2914.92,13599.79,94485,133846,3251629,34.41,282.12,15110,12763,495.71,2025
28,Y.S.R,17629.75,61.58,1361.44,7244.83,1965.37,270.99,20956.56,7577.4,28533.96,137724,217504,6499604,47.19,272.7,16519,18041,564.45,2025
,Total,494417.25,838.22,50884.28,203841.13,31921.23,4128.35,577222.78,208807.72,786030.49,4287112,6763422,185970663,43.38,267.83,408958,550073,492.96,2025
