0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Year
6,CHITTOOR,24248.63,2535.86,18332.7,5215.64,2780.52,0,45361.85,7751.5,53113.35,276640,448729,14944589,54.02,173.03,83500,97098,314.68,2017
7,EAST GODAVARI,31485.4,3078.58,19411.55,5270.1,3125.84,0,54022.8,8348.68,62371.48,391400,577933,18802676,48.04,173.28,127285,90068,294.01,2017
8,ELURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
9,GUNTUR,15154.44,880.5,10490.56,7259.44,2001.58,0,27646.58,8139.94,35786.52,301633,509276,10685618,35.43,149.7,71872,65058,267.67,2017
10,KAKINADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
11,KONASEEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
12,KRISHNA,11353.73,1030.1,8210.1,2514.42,1840.43,0,21404.26,3544.51,24948.77,234412,386594,8408254,35.87,141.82,31024,60043,262.4,2017
13,KURNOOL,17331.67,3373.23,8962.34,3959.32,2937.3,0,29231.31,7332.55,36563.86,285866,504165,13084048,45.77,141.28,50829,73576,233.19,2017
14,NANDYAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
15,NELLORE,16662.24,2834.19,7058.09,5147.93,1884.05,0,25604.38,7982.12,33586.5,230570,361354,11827809,51.3,150.02,65609,87999,226.43,2017
16,NTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
17,PALNADU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
18,PARVATHIPURAM MANYAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
19,PRAKASAM,32000.34,3191.85,18215.6,5994.19,2958.55,0,53174.5,9186.03,62360.53,404001,672809,23509724,58.19,142.93,70858,82517,234.12,2017
20,SRI SATHYA SAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
21,SRIKAKULAM,29143.43,5433.48,16128.26,4927.61,2608.8,0,47880.5,10361.09,58241.59,368504,572623,22014784,59.74,137.74,60248,53804,223.19,2017
22,TIRUPATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
23,VISAKHAPATANAM,32706.66,4412.95,18629.63,13762.42,2295.6,0,53631.89,18175.37,71807.26,329114,560971,21533071,65.43,158.54,31675,139147,256.26,2017
24,VIZIANAGARAM,31081.56,4818.4,14525.37,5038.78,2057.89,0,47664.82,9857.18,57521.99,358265,591731,24131517,67.36,133.42,49743,82018,202.58,2017
25,WEST GODAVARI,20115.26,3602.85,10767.79,9507.38,1683.62,0,32566.67,13110.23,45676.9,316300,494494,13974232,44.18,153.07,34178,90702,242.56,2017
26,Y.S.R,17918.96,2187.26,9662.73,5945.32,2555.99,0,30137.67,8132.58,38270.25,203593,319108,11419491,56.09,163.1,49430,77407,271.68,2017
,Total,308430.62,41931.8,177519.06,80237.49,32096.08,0,518045.78,122169.27,640215.04,3992810,6509892,211967376,53.09,152.5,810383,1071083,252.11,2017
SNo.,District,Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Employment Provided,Employment Provided,Employment Provided,Average days of employment provided per HH,Average Wage per personday (In Rs.),Works,Works,Cost Per Personday(in Rs.),2018
